subj,task,run,abs_mean,rel_mean,pct_removed
100206,SOCIAL,LR,0.310513,0.051700,0.468750
100206,SOCIAL,RL,0.214104,0.056968,0.444444
101309,SOCIAL,LR,0.559692,0.051542,0.481481
101309,SOCIAL,RL,0.259785,0.047482,0.500000
101410,SOCIAL,LR,0.168701,0.090389,0.454545
101410,SOCIAL,RL,0.222863,0.081655,0.371429
101915,SOCIAL,LR,0.389969,0.091183,0.500000
101915,SOCIAL,RL,0.568161,0.070233,0.590909
105923,SOCIAL,LR,0.498858,0.073056,0.470588
105923,SOCIAL,RL,0.471679,0.071927,0.487179
108525,SOCIAL,LR,1.287470,0.154910,0.435897
108525,SOCIAL,RL,0.493571,0.085510,0.432432
109325,SOCIAL,LR,0.488098,0.125228,0.342105
109325,SOCIAL,RL,0.308147,0.102936,0.512821
110411,SOCIAL,LR,0.147127,0.042933,0.400000
110411,SOCIAL,RL,0.273583,0.053987,0.348837
111716,SOCIAL,LR,1.022760,0.083677,0.538462
111716,SOCIAL,RL,0.518310,0.082709,0.551724
112314,SOCIAL,LR,0.972302,0.054964,0.500000
112314,SOCIAL,RL,1.086140,0.059646,0.384615
112920,SOCIAL,LR,0.236090,0.067035,0.350000
112920,SOCIAL,RL,0.177579,0.066307,0.195652
113215,SOCIAL,LR,0.125699,0.048839,0.354839
113215,SOCIAL,RL,0.114698,0.056917,0.424242
114823,SOCIAL,LR,0.144303,0.073351,0.551724
114823,SOCIAL,RL,0.481475,0.052455,0.518519
118124,SOCIAL,LR,0.221115,0.108147,0.320000
118124,SOCIAL,RL,0.118581,0.115480,0.333333
118528,SOCIAL,LR,0.337257,0.062231,0.600000
118528,SOCIAL,RL,0.139322,0.060293,0.500000
118932,SOCIAL,LR,0.350820,0.080257,0.378378
118932,SOCIAL,RL,0.416262,0.074605,0.558824
119126,SOCIAL,LR,0.293046,0.102659,0.451613
119126,SOCIAL,RL,0.152306,0.098644,0.411765
119732,SOCIAL,LR,0.236144,0.070052,0.351351
